,평점,일시,감상평
714,10,2015.03.14 12:12,오싹하면서도 자연스러운 우리 그대로의 실상.
715,8,2015.03.14 09:28,천재는 어디에든 있는 거겠죠.
716,10,2015.03.14 01:32,성공하려면 어떻게 해야 하는지 정답을 보여주는것 같다. 제이크질렌할 진짜 제대로 질리게 연기 잘했다.
717,10,2015.03.13 20:57,제이크 질렌할 보면 볼수록 빠져드네 버드맨보고 버드맨이 갑이라 생각했는데 이것도 연기력이 만만찮다ㄷㄷ
718,9,2015.03.13 00:37,2시간이 금방 간다. 긴박감 넘치고 킹스맨보다 재밌었는데
719,8,2015.03.12 23:52,실제로 헤집어보고싶게만드는 영화
720,10,2015.03.12 21:56,"개인적으로 이런 수작은 많이 제작되어야 한다. 기발찬 발상과 흥미진진한 스토리 전개, 배우의 뛰어난 연기.  더이상 바랄게 뭐란 말인가?"
721,9,2015.03.11 20:53,평점이 이렇게 좋은 건 다 이유가 있었구나.
722,8,2015.03.11 13:24,억지스러운 설정마저 납득시키는 제이크 질렌할.
723,9,2015.03.11 10:03,제이크 질렌할 표정이나 외모가 &lt;아메리칸 싸이코&gt; 크리스찬 베일과 싱크로율 높음. 르네 루소는 너무 나이가 들어 보이시네요 ㅠ 아무리 연상 역할이라도 좀 더 젊은 배우(40대후반?)를 캐스팅 했어야... 30대가 60대랑 자고 싶어 하는 게 공감안됨 
724,8,2015.03.11 02:06,"참신한듯 식상한 주제, 뛰어난 연기, 아쉬움으로 끝나는 영화"
725,6,2015.03.10 22:55,"군데군데 아쉬운 연출과 트랙, 그속에 빛나는 예리한 질렌할의 눈빛"
726,8,2015.03.10 21:59,노홍철을 닮은 얼굴에 노홍철의 긍정마인드가 소시오패스로 변질된 듯한.... 소오름..
727,10,2015.03.10 21:01,"'소셜 네트워크'의 마크 주커버그를 능가하는 안티 히어로이자, 기레기에 악덕 사업가 주인공... 저런 사람들이 뉴스를 지배한다는 것이 사실이라면 정말 무서울 따름이다."
728,10,2015.03.10 15:27,미치지 않고서 이런 연기를 할 수 있는건지 A부터Z까지 전부 맘에든다
729,10,2015.03.09 23:21,누구나 꿈꾸는 성공의 역설... 정직원 되십시오 모두
730,10,2015.03.09 13:40,"크고 동그랗게 뜬 눈, 변화없는 표정, 그 속에서 튀어나오는 섬찟해지는 말들. 제이크 질렌할은 이 모든 것을 아무렇지도 않게 보여줬어요. 개인적으론 브로큰 백마운틴의 연기보다 좀 더 강하고 진하게 다가오네요"
731,9,2015.03.09 13:11,일그러진 자기계발서 같은 영화. 제이크 질렌할에게 남우주연상을 주어 마땅한 영화. 무시무시하다.
732,9,2015.03.09 13:02,계몽적이지 않지만 역설적으로 느끼게 해주는게 많은 어른들의 영화
733,9,2015.03.09 12:22,아무생각 없이 봤는데 기대이상으로 재밌었네요. 특히 천재 사이코패스 연기 소름끼칩니다!
734,8,2015.03.09 06:31,맨홀뚜겅 도둑에서 프로덕션 사장까지 저정도로  또라이 짓 하며 살면 성공 못할 이유 없쥐 ~
735,8,2015.03.09 02:01,이런영화가 볼만하다는 사실이 불편하네
736,8,2015.03.09 00:58,역시 제이크 질렌할은 연기 머신(machine)이다.
737,6,2015.03.08 23:57,이 남자 어쩜..순진한 얼굴로 어마무시해..
738,9,2015.03.08 23:56,"흥행영화를 만드는것도 관객이고, 흥행뉴스를 만드는것도 시청자"
739,8,2015.03.08 23:17,소름끼치게 연기하는 제이크 질렌할. 순진함을 가장한 성공을 탐하는 그의 눈이 정말 무서웠다..
740,8,2015.03.08 20:45,살아남기 위해 약자가 하이에나가 되어가는 과정의 광기를 잘 담아냈다. 제이크 질렌할이 굉장히 인상적이다. 좋은 배우가 되어가는 듯.
741,9,2015.03.08 19:11,굿굿굿 베리굿 오랜만에 좋은 영화 한편 보았습니다.
742,9,2015.03.08 18:39,질렌할과 루소의 완벽한 캐스팅.러닝타임 내내 군더더기가 없다
743,6,2015.03.08 16:27,실제로는 저이상으로 조작되는 방송이 많죠
744,10,2015.03.08 13:09,장르가 공포가 아닌데도 불구하고 무시무시한 영화. 무서운 건 이런 소시오패스가 사실은 고개만 돌려봐도 있다는 점. 다만 가면을 쓰고 사람들 속에 녹아있을 뿐 널리고 널린 게 이런 인간들.
745,7,2015.03.08 00:59,적당히 볼만하네...
746,9,2015.03.07 21:25,역시 소시오패스는 순진무구한 눈을 가졌을때가 가장 무섭다
747,10,2015.03.07 18:25,보고싶은데 상영관이 없어요ㅠㅠ
748,9,2015.03.07 18:08,어떻게든 특종을 찍겠다는 한 남자의 광기어린 집중력이 섬뜻하다.
749,8,2015.03.07 12:31,"사고현장의 급박함과 생생함, 루의 광적인욕망이 만들어낸 결과들이 보는 내내 지루하지 않게 해줌"
750,8,2015.03.07 09:50,돈이 아깝지는 않은 영화 우리나라 대기업들도 같은맥락으로 성장하지 않았나 싶다고 느낌
751,10,2015.03.07 02:59,어떤 면에선 욕망이전에 사회구조의 모순을 드러내는 작품
752,10,2015.03.07 02:46,정말 이 사회는 소시오패스가 성공하는 사회이네요배댓처럼 이렇게 사는 사람이 성공하고 우리 사회를 지배한다는걸 새삼 다시 깨달았습니다. 정직하게 해서는 올라갈 수 없는 이 사회 현실이 무섭습니다.
753,7,2015.03.06 15:53,끝이 뭔가 좀 찝찝하게 끝난거 말고는 괜찮았는데 역시 앞을 좀 늘리거나 뒤를 길게 해서 끝을 내는게 좋지 않았나 싶습니다
754,10,2015.03.06 14:36,"카메라, 카메라....빨간 점이 그립다."
755,10,2015.03.06 13:28,새로운 방식의 스릴러...인간의 잔인함을 다른 방식으로 보여주는 영화
756,10,2015.03.06 13:20,와 재익이 연기 잘하네요
757,10,2015.03.06 12:59,이 영화 국내 홍보 문구가 에러 -  특종 추적 스릴러?  숨막히는 사건 중심의 영화가 아닌데 그렇게 설명을 해 놨음. 저예산 영화이고 인물 중심의 영화입니다. 제이크 질렌할 동공연기에 압도됩니다.
758,10,2015.03.06 09:57,배우의 연기가 작품에서 차지하는 비중이 얼마인지를 보여주는 영화.  섬세한 감독의 디렉션이 곁들여졌다.
759,10,2015.03.06 05:32,어 진짜 재밌어 나중에 리메이크해도 재밌겠다. 진짜 또라이연기 쩔어
760,8,2015.03.06 03:58,"극본, 연기 모두 괜찮았다."
761,8,2015.03.06 01:57,루.성공적.눈빛압도
762,9,2015.03.06 01:21,올만에 스릴있는 영화 봤네요  거울 깨는 장면에서의 얼굴표정~
763,8,2015.03.05 23:32,분명한  주제의식과   장르적 스릴감과 긴장감   액션을 기대한다면 살짝 못미침
764,9,2015.03.05 22:57,[182번째 후기] 간만에 손에 땀을 쥐면서 봤다. 제이크 질렌할의 욕망에 가득찬 눈빛이 아직도 섬뜩하다.
765,8,2015.03.05 20:44,제이크 질렌할의 인생 연기
766,6,2015.03.05 19:45,벌레들이 카메라를 잡으면 어떻게 되는지 보여줌
767,9,2015.03.05 19:43,본인 손에 피안 묻히고 살인을 불러일으키는 살인마ㄷ 죄책감이라곤 찾아 볼 수가 없는 주인공; 권선징악 따윈 없으며 이런 자들만이 승승장구한다는 무서운 이야기 ㅠ
768,10,2015.03.05 17:48,소오름돋게 몰입하게함
769,9,2015.03.05 16:09,정면샷은 쳐다보기 부담스러울 정도로 제이크 질렌할의 텅빈 눈빛은 오싹했다. 팩트보다는 자극적인 임팩트를 원하는 대중이 있는한 루이스 블룸은 절대 사라지지 않을 것이다. 영화속 충격적인 조작이 크게 놀랍지 않은건 현실에서 생긴 내성탓이라 씁쓸하다. 
770,9,2015.03.05 13:32,눈빛이 소름끼칠 정도로 영혼이 없어서 인간이 아닌 다른 종족을 보는 느낌이었음..살면서 정말 절대 일대일로 만나고 싶지 않은 부류
771,9,2015.03.05 12:31,자본주의가 낳은 카메라든 악마
772,9,2015.03.05 12:10,일단 그의 눈빛연기에. 반함. 스토리의 큰  반전 없이 이정도로  몰입도를 끌어냈으니 만족.ㅋ
773,7,2015.03.05 08:08,베댓처럼 그정도는아님 스릴러?? 이게무슨 스릴러야 그냥 보통영화구만
774,8,2015.03.05 07:37,"연기력,몰입도 뛰어나지만결말이좀 허무.."
775,9,2015.03.05 05:09,연기가 대박.. 재밌게 봣음
776,9,2015.03.05 03:02,주인공 말과 행동이 굉장히 무섭네요.
777,10,2015.03.05 01:00,정말재미있네요~~ 배우의 연기가 인상깊어요
778,10,2015.03.05 00:57,연기가 소름 웰메이드 영화!!!
779,10,2015.03.05 00:05,질렌할의 뛰어난 연기 성공과 자기개발을 위해 사회적 악마가 되어가는 주인공 몰입이 잘되는 영화
780,10,2015.03.04 23:12,주인공 소스코드때 인상깊었는데 역시나 연기는굿인간의욕망은끝이없다
781,7,2015.03.04 22:47,"괴물이 되어가는 미디어, 괴물이 되어가는 세상...지적인 스릴러."
782,10,2015.03.04 21:51,연기력 보는 맛이 있는 영화
783,8,2015.03.04 21:39,언론의 속성을 보는듯하다. 전쟁터의 종군기자도 주인공과 비슷할듯
784,8,2015.03.04 18:05,"신선한 소재에 높은 점수, 폰 부스처럼 한명의 열연이 만든 영화. 배드엔딩도 참 마음에 들었다."
785,9,2015.03.04 16:36,영화적으로는 멋지나....힘들고 괴로운 영화
786,9,2015.03.04 16:10,연기 쩔고 지루하지않았음
787,8,2015.03.04 13:37,제이크가 반은 살릴듯;
788,7,2015.03.04 11:04,사회부적응 히키코모리 소시오패스가 무리한 사회진출을 했을 때 빚어질 수 있는 상황의 극한을 보여주는 영화...
789,9,2015.03.04 01:32,"해변을보며명상을하고머리를묵더니자전거훔치고,국장과음식점에서거래를하는장면좋았음....권인하가부릅니다 나의적성을찾아서"
790,10,2015.03.03 23:53,사회의 거짓없는 보도 / 법이 보호하는 반윤리 / 결국 보는것이 다인 세상
791,9,2015.03.03 23:16,배우들의 연기가~와우재미만바란다면 비추조용하게빨려들어간다
792,10,2015.03.03 21:00,무서운 연기력 소름 돋았따.
793,8,2015.03.03 19:15,사이코패스의 성공사례인건가...이 영화가 실화였다면 더 대박이였을 듯.
794,10,2015.03.03 09:20,연기짱..  질렌할. 연기장난아님
795,10,2015.03.02 22:07,제이크질렌할 연기 대박..진짜 싸이코 보는 줄ㄷㄷㄷ
796,9,2015.03.01 22:11,굉장합니다   망설이다 봤는데  재미있습니다
797,10,2015.03.01 21:34,남주 이렇게 연기를 잘하다니 놀랍다. 그냥 온몸으로 제대로 미친놈 포스가 풀풀....와..
798,10,2015.03.01 21:17,제이크 눈만 봐도 이 시키 또라이구나 라는 것을 알 수 있는 훌륭한 연기였다.
799,10,2015.03.01 20:33,이 시대가 만들어낸 괴물.
800,10,2015.03.01 20:32,"추천하고 싶은 영화다, 영화 소재와 전개 연기가 다 맘에 든다"
801,9,2015.03.01 19:26,그동안 제이크 길렌할을 과소평가해온거라 느낄 정도로 미친 연기력이다. 다른 영화들에서도 연기가 안정된다고 생각만 했지 특출나지는 않는가보다 생각했는데 이번 영화에서 완전히 만개한 모습을 보여주고 있음..
802,7,2015.03.01 19:16,스릴러적인 요소는 다소 미흡하지만 주제를 다루는 감독의 기량과 배우들의 호연은 수준급
803,8,2015.03.01 17:02,페르시안의 왕자때부터 팬이었지만 진짜 제이크 질렌할의 또다른 재발견이다.
804,9,2015.03.01 14:45,"제이크질렌할의 연기에 놀랬고, 영화의 흐름에 다시한번 놀랬다..."
805,7,2015.03.01 12:47,"언론, 방송이 때로는 악마와 친할 수도,,,"
806,8,2015.03.01 11:54,우리주변 의외로 이런자들이 많다는게 서글프다
807,9,2015.03.01 11:45,제이크 질렌할의 큰 눈으로 쳐다보는 여러표정연기는 정말 인상적이다. 중후반으로 갈수록 점점 묵직해지고 엄청난 흡입력을 자랑한다. 긴장감 조성도 최근 몇년안에 본 작품들중 손에 꼽을만하고 탄탄한 각본역시 인상적이다. 다만 루의 성격형성과정이나 극초반부의 
808,10,2015.03.01 00:28,와우 제이크 질렌할 이여.
809,8,2015.02.28 23:35,좋아하는 배우중 한명인 제이크 질렌할.. 역시 실망을 시키지 않는다. 그의 소름끼치는 싸이코패스 스러운 연기에 공포감이 든다. 침착함속에 새어나오는 그의 광기와 욕심으로 일그러진 언론 등 볼만한 요소가 많은 재밌는 영화다. 
810,9,2015.02.28 22:01,택시 드라이버를 생각나게하는 영화인데 제이크 질렌홀 연기가 대단해서 표정없는 얼굴에 공포까지 느낌
811,10,2015.02.28 16:10,미생의 소시오패스 버전. 혹은 소시오패스가 된 장그래. 비열하고 냉혹한 인간이 성공하는 건 다 똑같다.
812,10,2015.02.28 14:28,잡다한 인물배치나 구성 없이 정말 깔끔하고 몰입도 높게 현대사회의 자화상을 그려냄
813,8,2015.02.28 13:40,비행기에서 봤는데 초반에 주인공 너무 재수없어서 한번 껐다가 할거 없어서 다시켜서 봤더니 재미있네요  ㅋㅋ 근데 좀 지루함
814,9,2015.02.28 12:58,믿고 보는 배우가 완성됐다.
815,7,2015.02.28 10:51,"부정,부패,가십 안에서 미친 듯이 폭주한다.제이크 질렌할은 올해의 영화 캐릭터."
816,9,2015.02.27 23:35,나름 긴장감도있고 내용도 재미있네요. .주연도 연기 넘 잘하고요.
817,8,2015.02.27 23:29,제이크 질렌할의 연기는 미쳤고영화가 보여주는 현실사회는 무섭기만하다.이건 우리들이 키운 미디어를 경고하는 메시지이다.
818,8,2015.02.27 23:25,몹입감도좋고 질렌할 연기도 좋고!!  그리고 진짜 무서운 이세상..
819,8,2015.02.27 20:56,소시오패스 VJ   연기력이 재미에 반이상
820,10,2015.02.27 20:41,연출과 연기력만으로 이 영화를 나의기억속으로~~
821,8,2015.02.27 19:21,뉴스도 다 만들어내는거 라지만이 영화는 제이크 질렌할의 OOO기가 볼만하다. 인간이 자본을 향해 어떻게 질주하는지를..
822,9,2015.02.27 18:02,광기어린 연기에 찬사를
823,9,2015.02.27 17:24,영화의 만듦새를 떠나서 이렇게 불쾌한 영화도 오랜만이다.
824,9,2015.02.27 16:31,현대 사회의 성공은  이렇게 조작된다. 소시오패스와 진실을 왜곡해도 자극하길 좋아하는 언론이 만난다면... 마치 모배우의 성장기 같다. 하하하하... 이 시대에는 조작해서라도 성공한다면 뭐든 하는 인간이 너무 많음. 
825,10,2015.02.27 16:27,질렌할의 광적인 연기를 보는 것 만으로도 가치가 있는 영화!
826,10,2015.02.27 15:26,영화보기전에 싸이코패스영화란걸 알면 질렌할의 연기에 빠질것임
827,8,2015.02.27 15:04,정말너무 늦게 개봉했다;;;
828,9,2015.02.27 14:56,택시 드라이버가 연상되는 걸작. 지금을 살아가는 우리의 욕망을 냉혹하게 까발린다. 그리고 여기서 자유로울 수 있는 이는 많지 않다.
829,10,2015.02.27 14:16,스릴러 사이코 연기 쩐다. 주인공은 싸이코패스! 맘졸이면서 봤네.ㅋ 잔인한 장면없이 잔인한 느낌을 주는 영화.
830,10,2015.02.27 13:52,내용은 그다지 스펙타클하지 않지만 진짜 사람을 빨아들이네요.
831,10,2015.02.27 10:49,박평식이 7점준영화다..
832,9,2015.02.27 10:38,"몰입도, 내용 모두 만족스럽습니다."
833,9,2015.02.27 09:49,스릴대박...제이크질렌할의 사이코패스연기 너무 리얼함. 외모도 그렇고... 자신을 열받게한 사람을 교묘하게 죽이는거하며 촬영조작하는거며 여자보도국장한테 변태처럼구는거하며 웃는표정까지 전부 소름끼침. 추격자때 하정우처럼 저 사람 너무 무서워... 
834,10,2015.02.27 09:37,제이크 질렌할의 이름을 기억하게된 영화. 그의 소름돋는 연기와 한 인간의 기준에 따라 본질이 바뀌어버리는 언론.범인 추적할때의 긴장감. 최고다.
835,7,2015.02.27 09:18,목적을 위해 수단을 가리지 않는 사회 속 인간.
836,9,2015.02.27 08:28,질렌할 소름돋는연기.. 그를다시보게됬다
837,10,2015.02.27 08:09,제이크질렌할의 무표정하면서 소름돋는 눈빛 연기에 숨돌릴 틈 없는 긴장감의 연속.. 우연에서부터 시작해 전개되는 사건들의 연출이 충격적이다. 인간의 다양한 욕망에 대해 생각하게 된 영화..강추~!!
838,6,2015.02.27 07:20,중반까지의 이야기 전개가 느슨해서 큰 흥미를 유발하지 못하다가 자신의 성공을 위해서 혈안이 된 루이스가 살인사건 용의자를 직접 추적하면서부터 범죄스릴러의 재미가 유발되므로 킬링타임용으로는 적절하군
839,7,2015.02.27 04:05,솔직히 재미를위해 만들어진 영화는 아니고 우리삶속에서 많은 문제점들이 우회적으로 잘 표현된영화..이시대에 딱맞는 .. 추천합니다 저는.. 자기전 침대에 누우면 생각나는 영화네요. 저는 심야로봤는데 잠을못잘것 같습니다. 
840,10,2015.02.27 00:53,제이크 질렌할 다시봤다
841,10,2015.02.27 00:29,최근몇년간 본영화중 최고의 싸이코영화인듯.. ost가 분위기와 어울리지 않았던건 점점 쾌감과 스릴을 느끼는 루이스의 심리가 그대로 음악에 반영됬다고 봄. 보는 내내 로버트 드니로의 택시드라이버가 생각났던..
842,9,2015.02.26 23:49,"질렌할의 그 섬뜩한 연기는 아무도 모방할 수 없을만큼 독보적이었다 영화 보는 내내 심장마비에 걸릴 것 같은 이 느낌은 참으로 오랜만이다 다만 부분적으로 개연성이 떨어지는 장면이 있어 아쉬움이 남을 뿐 풍자, 사회고발, 액션, 스릴러, 연기 모두 훌륭. "
843,8,2015.02.26 14:17,나쁜녀석의 인생 성공기
844,10,2015.02.26 08:11,와 이거 대박.ㄷㄷㄷㄷ
845,8,2019.04.21 07:08,인턴....불쌍한데 또라이한테 너무 들이댔다....
846,10,2018.11.11 18:36,마이크질렌할 연기 최고였고 영화도 정말 재밌게 보았다
847,10,2018.11.05 21:08,불쾌하고 기분나쁜 성공기
848,10,2018.10.07 14:35,조커에다가 데드튜브를 붙여놈. 역대급 싸이코 스릴러...
849,8,2018.06.06 21:54,기레기가 성공하는법...
850,6,2018.03.10 09:54,제이크질렌할만 빼고 다 어수선해.
851,8,2018.01.26 06:03,질렌할 시_발 이 영화때매 싫어질려해..
852,6,2017.03.29 11:07,매몰찬 파파라치 이야기 . 그저그러네
853,9,2016.12.31 19:56,몰입도 긴장감 스릴 최고다... 와 영화끝나고 한동안 멍하고 힘이 다빠짐 소시오패스가 이렇게 무섭구나...제이크 질렌할은 믿고본다 진짜
854,7,2016.11.30 15:52,남주 연기에 비해 내용이 좀 아쉬웠던 영화.. 주인공의 눈빛이 진짜 무서웠다..
855,9,2016.11.15 11:40,"자본주의와 결탁한 저널리즘의 폐해를 그대로 보여줬다.윤리도덕 문제는 접고 오로지 시청률만 매달리는 언론을 보며 또 그런 언론을 대수롭지 않게생각하는나를 보며, 그리고 더이상 정의를 외치지 않는 사회를 보며,어쩜우린돌이킬수 없을 정도로 타락했다는생각 "
856,10,2016.07.06 11:46,짱급영화입니다. 스릴러란 이런거다!
857,9,2016.07.06 00:18,진짜 또라이...일과 돈에 미친
858,7,2016.02.21 02:08,전개가 굉장히 막장스러운 판타지였다 그러나 현실적인면들이  많은생각을 하게만들어주는 영화이다.
859,7,2016.02.16 17:30,급식들이 왜 이리 이영화를 재밌다구 10점을 줄까.도덕성에 대해 니들은 생각이나 해봤냐..그냥 시간때우기 영화+질렌할출연때문에 +1점
860,7,2016.02.14 18:08,주말 점심식사 이후 시간때우기 좋을 정도의 영화.물론 제이크질렌할의 연기는 매우 좋음. 하지만 조금만 더 영화적ㅇ으로 보여줬다면 더 좋았을거라는 아쉬움..
861,8,2016.02.05 01:03,제이크 눈봐라 와 난리난다
862,9,2016.01.25 19:24,진정한 또라이는  질렌할이 만들어놓은 밥상에 숟가락 얹는  노숙자임
863,6,2015.12.24 11:23,제이크 질렌할같은 캐릭터가 실제로 존재할 것 같은 무서운 느낌이 든다...영화가 주는 메시지는 좋았지만 조금 지루한 영화...
864,7,2015.12.20 16:28,제이크 질렌할의 연기는 대단했다
865,10,2015.11.05 21:22,브로크백마운틴 이후 제이크질렌할 연기력에 또 매료!
866,8,2015.10.29 17:12,비행기안에서 흥미진진하게 본영화. 매우 치열하고 무섭다. 싸이코패스가 이럴까
867,9,2015.10.27 14:30,진실은 어디에 있나 (연기 정말 잘하네)
868,5,2015.08.25 06:49,옐로우 페이퍼를 넘어선 요즘 미디어의 비도덕성에 관한 우화. 동물을 일부러 상해를 입히고 치료하는 과정을 찍는 공중파 프로그램도 있는 마당에 사람이라고 뭐 다를게 있을까. 다만 감독의 연출력이 질렌할한테 배워야 할 수준. 건조하지도 않은데 밋밋하다. 
869,6,2015.08.14 23:50,제이크 얘는 진짜 연기력으로 영화하는애네...솔까 이거 연기력 아니었으면 재미 개똥일 영화다
870,8,2015.08.05 01:42,기대 이상의 재미. 믿고보는 질렌할 영화
871,10,2015.07.23 01:44,또라이 연기 진짜 최고다
872,9,2015.07.19 18:01,좋아요좋아요좋아오오
873,8,2015.06.12 01:52,꽤 재밌었음...질렌할 연기 잘한다!
874,10,2015.04.15 19:02,어떻게 제이크질렌홀이 아카데미남우주연 후보에도 안올랐지?
875,7,2015.04.12 20:44,그냥그랬어용 막 엄청 감동적인건 아니에요
876,8,2015.04.06 23:22,영화 보면서 LA가 그리워서 죽는 줄 알았다....
877,7,2015.03.11 21:24,연기는 잘하는데 주인공 보는내내 밥맛인거는 나만그런가ㅋ
878,10,2015.03.08 23:23,간만에 잼있게 본 영화. 수작. 평점 8.5
879,10,2015.03.08 21:22,제이크 질랜할 연기 개소름ㅜㅜㅜㅜ한동안 계속 루가 생각나서 닭살돋을것같다
880,8,2015.03.08 12:23,8점은 됩니다....
881,9,2015.03.08 00:30,"극강의 각본과 연출, 질렌한 역대급의 미친 연기력. 2015년이 이제 시작이지만 단언컨데 올해 최고의 영화를 난 이미 봐버렸다."
882,6,2015.03.06 13:18,큰 기대없이 보면 좋을듯.. 그저 그런...
883,7,2015.03.04 01:54,앞부분 잠깐보니 그냥 예상가능했음.  그저 그랬음
884,7,2015.03.03 13:32,흥미진진 자본주의 까기 스릴러
885,8,2015.03.02 21:45,수작입니다. 질렌할 연기 뛰어나요.
886,10,2015.03.02 21:22,"정말 요즘 좌편향 방송사들의 왜곡, 거짓 보도가 난무하는 가운데 꼭 봐야할 영화, 좌편향 선동 방송 퇴출 시급"
887,10,2015.03.02 15:11,좋은영화 소시오패스영화중 역대급
888,7,2015.03.01 21:41,제이크길렌할의 연기 말고는 모두 기대이하인 스릴러
889,10,2015.03.01 19:05,기냥 후덜덜함... 평점 올려야지.
890,10,2015.03.01 17:14,제이크 질렌할의 연기는 10점!!
891,8,2015.03.01 14:16,주인공 연기 참 잘한다. 스토리도 탄탄하고. 괜찮은 영화다.
